"cell","Test","Statistic","p.value","MVN"
"East.Early(2013-2017)","Mardia Skewness",63.289,"<0.001","✗ Not normal"
"East.Early(2013-2017)","Mardia Kurtosis",-0.996,"0.319","✓ Normal"
"Central.Early(2013-2017)","Mardia Skewness",29.168,"0.085","✓ Normal"
"Central.Early(2013-2017)","Mardia Kurtosis",-1.399,"0.162","✓ Normal"
"West.Early(2013-2017)","Mardia Skewness",79.418,"<0.001","✗ Not normal"
"West.Early(2013-2017)","Mardia Kurtosis",0.644,"0.519","✓ Normal"
"Northeast.Early(2013-2017)","Mardia Skewness",21.993,"0.341","✓ Normal"
"Northeast.Early(2013-2017)","Mardia Kurtosis",-1.587,"0.113","✓ Normal"
"East.Late(2018-2022)","Mardia Skewness",58.712,"<0.001","✗ Not normal"
"East.Late(2018-2022)","Mardia Kurtosis",-0.792,"0.428","✓ Normal"
"Central.Late(2018-2022)","Mardia Skewness",23.168,"0.281","✓ Normal"
"Central.Late(2018-2022)","Mardia Kurtosis",-1.576,"0.115","✓ Normal"
"West.Late(2018-2022)","Mardia Skewness",83.912,"<0.001","✗ Not normal"
"West.Late(2018-2022)","Mardia Kurtosis",0.722,"0.47","✓ Normal"
"Northeast.Late(2018-2022)","Mardia Skewness",11.873,"0.92","✓ Normal"
"Northeast.Late(2018-2022)","Mardia Kurtosis",-1.755,"0.079","✓ Normal"
